Name,Symbol,Date,Open,High,Low,Close,Volume,Adj Close
CATO,Cyt,2015-07-23,661.27002,663.630005,641,644.280029,3029100,644.280029
CATO,Cyt,2015-07-22,660.890015,678.640015,659,662.099976,3929300,662.099976
CATO,Cyt,2015-07-21,655.210022,673,654.299988,662.299988,3377200,662.299988
CATO,Cyt,2015-07-20,659.23999,668.880005,653.01001,663.02002,5860900,663.02002
CATO,Cyt,2015-07-17,649,674.468018,645,672.929993,11164900,672.929993
CATO,Cyt,2015-07-16,565.119995,580.679993,565,579.849976,4768300,579.849976
CATO,Cyt,2015-07-15,560.130005,566.502991,556.789978,560.219971,1784600,560.219971
CATO,Cyt,2015-07-14,546.76001,565.848999,546.710022,561.099976,3244100,561.099976
CATO,Cyt,2015-07-13,532.880005,547.109985,532.400024,546.549988,2206500,546.549988
CATO,Cyt,2015-07-10,526.289978,532.559998,525.549988,530.130005,1956700,530.130005
CATO,Cyt,2015-07-09,523.119995,523.77002,520.349976,520.679993,1839400,520.679993
CATO,Cyt,2015-07-08,521.049988,522.734009,516.109985,516.830017,1296700,516.830017
CATO,Cyt,2015-07-07,523.130005,526.179993,515.179993,525.02002,1597200,525.02002
CATO,Cyt,2015-07-06,519.5,525.25,519,522.859985,1280500,522.859985
CATO,Cyt,2015-07-02,521.080017,524.650024,521.080017,523.400024,1235900,523.400024
CATO,Cyt,2015-07-01,524.72998,525.690002,518.22998,521.840027,1961000,521.840027
CATO,Cyt,2015-06-30,526.02002,526.25,520.5,520.51001,2217200,520.51001
CATO,Cyt,2015-06-29,525.01001,528.609985,520.539978,521.52002,1937800,521.52002
CATO,Cyt,2015-06-26,537.26001,537.76001,531.349976,531.690002,2109100,531.690002
CATO,Cyt,2015-06-25,538.869995,540.900024,535.22998,535.22998,1335700,535.22998
CATO,Cyt,2015-06-24,540,540,535.659973,537.840027,1286600,537.840027
CATO,Cyt,2015-06-23,539.640015,541.499023,535.25,540.47998,1197500,540.47998
CATO,Cyt,2015-06-22,539.590027,543.73999,537.530029,538.190002,1250300,538.190002
CATO,Cyt,2015-06-19,537.210022,538.25,533.01001,536.690002,1893500,536.690002
CATO,Cyt,2015-06-18,531,538.150024,530.789978,536.72998,1833100,536.72998
CATO,Cyt,2015-06-17,529.369995,530.97998,525.099976,529.26001,1294200,529.26001
CATO,Cyt,2015-06-16,528.400024,529.640015,525.559998,528.150024,1071800,528.150024
CATO,Cyt,2015-06-15,528,528.299988,524,527.200012,1632700,527.200012
CATO,Cyt,2015-06-12,531.599976,533.119995,530.159973,532.330017,955800,532.330017
CATO,Cyt,2015-06-11,538.424988,538.97998,533.02002,534.609985,1217500,534.609985
CATO,Cyt,2015-06-10,529.359985,538.359985,529.349976,536.690002,1815000,536.690002
CATO,Cyt,2015-06-09,527.559998,529.200012,523.01001,526.690002,1455300,526.690002
CATO,Cyt,2015-06-08,533.309998,534.119995,526.23999,526.830017,1520600,526.830017
CATO,Cyt,2015-06-05,536.349976,537.200012,532.52002,533.330017,1388200,533.330017
DOLE,Cyt,2015-06-04,537.76001,540.590027,534.320007,536.700012,1348300,536.700012
DOLE,Cyt,2015-06-03,539.909973,543.5,537.109985,540.309998,1714500,540.309998
DOLE,Cyt,2015-06-02,532.929993,543,531.330017,539.179993,1939000,539.179993
DOLE,Cyt,2015-06-01,536.789978,536.789978,529.76001,533.98999,1904300,533.98999
DOLE,Cyt,2015-05-29,537.369995,538.630005,531.450012,532.109985,2597400,532.109985
DOLE,Cyt,2015-05-28,538.01001,540.609985,536.25,539.780029,1029800,539.780029
DOLE,Cyt,2015-05-27,532.799988,540.549988,531.710022,539.789978,1525000,539.789978
DOLE,Cyt,2015-05-26,538.119995,539,529.880005,532.320007,2406500,532.320007
